,Episodes,Rewards
0,0,28.0
1,0,18.0
2,0,10.0
3,0,33.0
4,0,15.0
5,0,50.0
6,0,38.0
7,0,15.0
8,0,44.0
9,0,26.0
10,1,15.0
11,1,38.0
12,1,19.0
13,1,12.0
14,1,23.0
15,1,13.0
16,1,33.0
17,1,35.0
18,1,25.0
19,1,20.0
20,2,14.0
21,2,28.0
22,2,21.0
23,2,30.0
24,2,15.0
25,2,30.0
26,2,12.0
27,2,19.0
28,2,30.0
29,2,45.0
30,3,11.0
31,3,55.0
32,3,28.0
33,3,25.0
34,3,36.0
35,3,48.0
36,3,45.0
37,3,12.0
38,3,17.0
39,3,28.0
40,4,22.0
41,4,24.0
42,4,20.0
43,4,39.0
44,4,14.0
45,4,17.0
46,4,55.0
47,4,21.0
48,4,15.0
49,4,14.0
50,5,20.0
51,5,27.0
52,5,15.0
53,5,19.0
54,5,119.0
55,5,17.0
56,5,25.0
57,5,23.0
58,5,40.0
59,5,24.0
60,6,13.0
61,6,28.0
62,6,14.0
63,6,27.0
64,6,19.0
65,6,64.0
66,6,34.0
67,6,15.0
68,6,38.0
69,6,28.0
70,7,17.0
71,7,14.0
72,7,13.0
73,7,27.0
74,7,31.0
75,7,33.0
76,7,40.0
77,7,13.0
78,7,32.0
79,7,25.0
80,8,39.0
81,8,41.0
82,8,19.0
83,8,17.0
84,8,58.0
85,8,22.0
86,8,60.0
87,8,14.0
88,8,81.0
89,8,18.0
90,9,48.0
91,9,79.0
92,9,19.0
93,9,33.0
94,9,21.0
95,9,24.0
96,9,35.0
97,9,29.0
98,9,53.0
99,9,19.0
100,10,10.0
101,10,15.0
102,10,32.0
103,10,75.0
104,10,50.0
105,10,24.0
106,10,68.0
107,10,18.0
108,10,17.0
109,10,56.0
110,11,45.0
111,11,10.0
112,11,16.0
113,11,68.0
114,11,12.0
115,11,16.0
116,11,88.0
117,11,16.0
118,11,78.0
119,11,44.0
120,12,39.0
121,12,43.0
122,12,18.0
123,12,163.0
124,12,12.0
125,12,13.0
126,12,90.0
127,12,35.0
128,12,30.0
129,12,62.0
130,13,24.0
131,13,30.0
132,13,14.0
133,13,24.0
134,13,27.0
135,13,13.0
136,13,54.0
137,13,25.0
138,13,38.0
139,13,46.0
140,14,15.0
141,14,38.0
142,14,19.0
143,14,31.0
144,14,36.0
145,14,16.0
146,14,92.0
147,14,24.0
148,14,42.0
149,14,43.0
150,15,21.0
151,15,10.0
152,15,11.0
153,15,85.0
154,15,15.0
155,15,12.0
156,15,177.0
157,15,42.0
158,15,16.0
159,15,62.0
160,16,21.0
161,16,22.0
162,16,16.0
163,16,41.0
164,16,71.0
165,16,18.0
166,16,108.0
167,16,35.0
168,16,53.0
169,16,37.0
170,17,20.0
171,17,48.0
172,17,22.0
173,17,48.0
174,17,12.0
175,17,10.0
176,17,114.0
177,17,15.0
178,17,40.0
179,17,47.0
180,18,17.0
181,18,25.0
182,18,25.0
183,18,23.0
184,18,24.0
185,18,14.0
186,18,121.0
187,18,52.0
188,18,46.0
189,18,49.0
190,19,17.0
191,19,27.0
192,19,17.0
193,19,33.0
194,19,44.0
195,19,12.0
196,19,57.0
197,19,23.0
198,19,34.0
199,19,51.0
200,20,33.0
201,20,32.0
202,20,11.0
203,20,24.0
204,20,49.0
205,20,17.0
206,20,155.0
207,20,24.0
208,20,41.0
209,20,48.0
210,21,26.0
211,21,26.0
212,21,27.0
213,21,53.0
214,21,32.0
215,21,29.0
216,21,155.0
217,21,42.0
218,21,63.0
219,21,65.0
220,22,44.0
221,22,32.0
222,22,21.0
223,22,18.0
224,22,31.0
225,22,14.0
226,22,155.0
227,22,58.0
228,22,90.0
229,22,73.0
230,23,20.0
231,23,71.0
232,23,39.0
233,23,36.0
234,23,58.0
235,23,18.0
236,23,155.0
237,23,82.0
238,23,75.0
239,23,42.0
240,24,27.0
241,24,45.0
242,24,80.0
243,24,61.0
244,24,21.0
245,24,23.0
246,24,89.0
247,24,59.0
248,24,52.0
249,24,61.0
250,25,22.0
251,25,22.0
252,25,24.0
253,25,77.0
254,25,42.0
255,25,27.0
256,25,119.0
257,25,23.0
258,25,39.0
259,25,37.0
260,26,24.0
261,26,35.0
262,26,20.0
263,26,55.0
264,26,56.0
265,26,15.0
266,26,119.0
267,26,78.0
268,26,52.0
269,26,38.0
270,27,26.0
271,27,20.0
272,27,24.0
273,27,74.0
274,27,52.0
275,27,16.0
276,27,111.0
277,27,36.0
278,27,31.0
279,27,51.0
280,28,25.0
281,28,32.0
282,28,63.0
283,28,48.0
284,28,28.0
285,28,53.0
286,28,94.0
287,28,38.0
288,28,35.0
289,28,44.0
290,29,22.0
291,29,34.0
292,29,10.0
293,29,29.0
294,29,40.0
295,29,27.0
296,29,69.0
297,29,77.0
298,29,39.0
299,29,39.0
300,30,17.0
301,30,57.0
302,30,32.0
303,30,45.0
304,30,83.0
305,30,45.0
306,30,154.0
307,30,41.0
308,30,68.0
309,30,43.0
310,31,33.0
311,31,43.0
312,31,40.0
313,31,50.0
314,31,48.0
315,31,28.0
316,31,94.0
317,31,61.0
318,31,50.0
319,31,52.0
320,32,18.0
321,32,57.0
322,32,20.0
323,32,21.0
324,32,97.0
325,32,24.0
326,32,117.0
327,32,52.0
328,32,63.0
329,32,47.0
330,33,24.0
331,33,60.0
332,33,34.0
333,33,21.0
334,33,64.0
335,33,16.0
336,33,175.0
337,33,65.0
338,33,58.0
339,33,32.0
340,34,26.0
341,34,156.0
342,34,33.0
343,34,44.0
344,34,72.0
345,34,15.0
346,34,200.0
347,34,94.0
348,34,62.0
349,34,54.0
350,35,23.0
351,35,94.0
352,35,11.0
353,35,44.0
354,35,33.0
355,35,51.0
356,35,78.0
357,35,142.0
358,35,35.0
359,35,61.0
360,36,23.0
361,36,72.0
362,36,18.0
363,36,22.0
364,36,67.0
365,36,31.0
366,36,93.0
367,36,82.0
368,36,61.0
369,36,43.0
370,37,14.0
371,37,20.0
372,37,26.0
373,37,36.0
374,37,170.0
375,37,21.0
376,37,33.0
377,37,82.0
378,37,53.0
379,37,46.0
380,38,14.0
381,38,50.0
382,38,13.0
383,38,42.0
384,38,127.0
385,38,14.0
386,38,100.0
387,38,85.0
388,38,56.0
389,38,42.0
390,39,35.0
391,39,57.0
392,39,14.0
393,39,34.0
394,39,103.0
395,39,34.0
396,39,22.0
397,39,63.0
398,39,55.0
399,39,45.0
400,40,35.0
401,40,43.0
402,40,27.0
403,40,60.0
404,40,115.0
405,40,61.0
406,40,27.0
407,40,79.0
408,40,97.0
409,40,41.0
410,41,50.0
411,41,53.0
412,41,47.0
413,41,53.0
414,41,131.0
415,41,55.0
416,41,35.0
417,41,62.0
418,41,99.0
419,41,49.0
420,42,37.0
421,42,43.0
422,42,20.0
423,42,43.0
424,42,113.0
425,42,29.0
426,42,51.0
427,42,116.0
428,42,78.0
429,42,47.0
430,43,52.0
431,43,52.0
432,43,22.0
433,43,40.0
434,43,66.0
435,43,15.0
436,43,45.0
437,43,127.0
438,43,85.0
439,43,51.0
440,44,61.0
441,44,65.0
442,44,18.0
443,44,92.0
444,44,66.0
445,44,20.0
446,44,45.0
447,44,114.0
448,44,118.0
449,44,58.0
450,45,42.0
451,45,93.0
452,45,15.0
453,45,102.0
454,45,191.0
455,45,22.0
456,45,80.0
457,45,121.0
458,45,90.0
459,45,50.0
460,46,78.0
461,46,56.0
462,46,13.0
463,46,133.0
464,46,97.0
465,46,16.0
466,46,102.0
467,46,131.0
468,46,123.0
469,46,50.0
470,47,56.0
471,47,58.0
472,47,21.0
473,47,28.0
474,47,163.0
475,47,37.0
476,47,113.0
477,47,135.0
478,47,146.0
479,47,46.0
480,48,46.0
481,48,112.0
482,48,24.0
483,48,97.0
484,48,171.0
485,48,15.0
486,48,148.0
487,48,111.0
488,48,106.0
489,48,71.0
490,49,40.0
491,49,82.0
492,49,29.0
493,49,69.0
494,49,132.0
495,49,13.0
496,49,148.0
497,49,97.0
498,49,106.0
499,49,49.0
500,50,42.0
501,50,106.0
502,50,18.0
503,50,67.0
504,50,139.0
505,50,18.0
506,50,148.0
507,50,118.0
508,50,113.0
509,50,64.0
510,51,59.0
511,51,100.0
512,51,25.0
513,51,34.0
514,51,56.0
515,51,12.0
516,51,148.0
517,51,118.0
518,51,156.0
519,51,128.0
520,52,19.0
521,52,121.0
522,52,41.0
523,52,84.0
524,52,110.0
525,52,22.0
526,52,148.0
527,52,119.0
528,52,132.0
529,52,66.0
530,53,28.0
531,53,104.0
532,53,13.0
533,53,53.0
534,53,75.0
535,53,42.0
536,53,148.0
537,53,116.0
538,53,140.0
539,53,83.0
540,54,27.0
541,54,89.0
542,54,37.0
543,54,54.0
544,54,52.0
545,54,15.0
546,54,148.0
547,54,141.0
548,54,158.0
549,54,42.0
550,55,45.0
551,55,86.0
552,55,20.0
553,55,137.0
554,55,58.0
555,55,19.0
556,55,148.0
557,55,136.0
558,55,101.0
559,55,33.0
560,56,23.0
561,56,51.0
562,56,12.0
563,56,137.0
564,56,100.0
565,56,25.0
566,56,148.0
567,56,136.0
568,56,143.0
569,56,61.0
570,57,41.0
571,57,65.0
572,57,11.0
573,57,137.0
574,57,59.0
575,57,24.0
576,57,179.0
577,57,158.0
578,57,160.0
579,57,50.0
580,58,57.0
581,58,50.0
582,58,10.0
583,58,137.0
584,58,92.0
585,58,27.0
586,58,140.0
587,58,167.0
588,58,139.0
589,58,53.0
590,59,31.0
591,59,58.0
592,59,16.0
593,59,137.0
594,59,107.0
595,59,39.0
596,59,75.0
597,59,165.0
598,59,99.0
599,59,42.0
600,60,52.0
601,60,45.0
602,60,20.0
603,60,137.0
604,60,125.0
605,60,25.0
606,60,30.0
607,60,165.0
608,60,83.0
609,60,46.0
610,61,37.0
611,61,44.0
612,61,11.0
613,61,137.0
614,61,144.0
615,61,93.0
616,61,34.0
617,61,165.0
618,61,104.0
619,61,42.0
620,62,44.0
621,62,43.0
622,62,9.0
623,62,137.0
624,62,101.0
