,Episodes,Rewards
0,0,9.0
1,0,20.0
2,0,10.0
3,0,31.0
4,0,17.0
5,0,27.0
6,0,12.0
7,0,13.0
8,0,28.0
9,0,20.0
10,1,20.0
11,1,20.0
12,1,26.0
13,1,21.0
14,1,27.0
15,1,12.0
16,1,12.0
17,1,25.0
18,1,19.0
19,1,12.0
20,2,16.0
21,2,59.0
22,2,17.0
23,2,14.0
24,2,20.0
25,2,19.0
26,2,25.0
27,2,11.0
28,2,12.0
29,2,12.0
30,3,11.0
31,3,48.0
32,3,13.0
33,3,59.0
34,3,19.0
35,3,34.0
36,3,10.0
37,3,12.0
38,3,14.0
39,3,60.0
40,4,29.0
41,4,10.0
42,4,11.0
43,4,19.0
44,4,21.0
45,4,16.0
46,4,11.0
47,4,23.0
48,4,18.0
49,4,22.0
50,5,41.0
51,5,20.0
52,5,17.0
53,5,24.0
54,5,19.0
55,5,50.0
56,5,23.0
57,5,15.0
58,5,13.0
59,5,25.0
60,6,16.0
61,6,52.0
62,6,101.0
63,6,33.0
64,6,33.0
65,6,23.0
66,6,9.0
67,6,52.0
68,6,10.0
69,6,23.0
70,7,11.0
71,7,17.0
72,7,13.0
73,7,11.0
74,7,18.0
75,7,37.0
76,7,15.0
77,7,14.0
78,7,14.0
79,7,19.0
80,8,28.0
81,8,36.0
82,8,13.0
83,8,43.0
84,8,17.0
85,8,9.0
86,8,23.0
87,8,37.0
88,8,12.0
89,8,48.0
90,9,36.0
91,9,22.0
92,9,27.0
93,9,21.0
94,9,15.0
95,9,11.0
96,9,14.0
97,9,40.0
98,9,11.0
99,9,33.0
100,10,10.0
101,10,15.0
102,10,27.0
103,10,44.0
104,10,75.0
105,10,34.0
106,10,18.0
107,10,17.0
108,10,14.0
109,10,27.0
110,11,14.0
111,11,81.0
112,11,19.0
113,11,22.0
114,11,32.0
115,11,14.0
116,11,19.0
117,11,30.0
118,11,13.0
119,11,50.0
120,12,20.0
121,12,79.0
122,12,36.0
123,12,26.0
124,12,23.0
125,12,45.0
126,12,27.0
127,12,43.0
128,12,15.0
129,12,20.0
130,13,18.0
131,13,76.0
132,13,25.0
133,13,41.0
134,13,30.0
135,13,15.0
136,13,15.0
137,13,38.0
138,13,10.0
139,13,21.0
140,14,28.0
141,14,36.0
142,14,28.0
143,14,37.0
144,14,81.0
145,14,89.0
146,14,39.0
147,14,32.0
148,14,12.0
149,14,29.0
150,15,15.0
151,15,62.0
152,15,14.0
153,15,15.0
154,15,95.0
155,15,25.0
156,15,34.0
157,15,20.0
158,15,12.0
159,15,33.0
160,16,23.0
161,16,15.0
162,16,12.0
163,16,41.0
164,16,37.0
165,16,13.0
166,16,14.0
167,16,17.0
168,16,10.0
169,16,74.0
170,17,17.0
171,17,41.0
172,17,44.0
173,17,40.0
174,17,40.0
175,17,27.0
176,17,30.0
177,17,23.0
178,17,14.0
179,17,43.0
180,18,22.0
181,18,42.0
182,18,14.0
183,18,19.0
184,18,27.0
185,18,42.0
186,18,19.0
187,18,49.0
188,18,13.0
189,18,52.0
190,19,24.0
191,19,27.0
192,19,15.0
193,19,19.0
194,19,35.0
195,19,75.0
196,19,51.0
197,19,36.0
198,19,13.0
199,19,41.0
200,20,15.0
201,20,20.0
202,20,15.0
203,20,51.0
204,20,52.0
205,20,48.0
206,20,14.0
207,20,18.0
208,20,10.0
209,20,47.0
210,21,14.0
211,21,46.0
212,21,43.0
213,21,36.0
214,21,26.0
215,21,37.0
216,21,26.0
217,21,82.0
218,21,12.0
219,21,45.0
220,22,23.0
221,22,39.0
222,22,33.0
223,22,66.0
224,22,83.0
225,22,49.0
226,22,16.0
227,22,15.0
228,22,10.0
229,22,27.0
230,23,10.0
231,23,56.0
232,23,64.0
233,23,18.0
234,23,78.0
235,23,15.0
236,23,70.0
237,23,46.0
238,23,10.0
239,23,18.0
240,24,21.0
241,24,31.0
242,24,42.0
243,24,34.0
244,24,47.0
245,24,31.0
246,24,28.0
247,24,46.0
248,24,17.0
249,24,39.0
250,25,14.0
251,25,52.0
252,25,55.0
253,25,26.0
254,25,189.0
255,25,51.0
256,25,80.0
257,25,26.0
258,25,14.0
259,25,15.0
260,26,15.0
261,26,83.0
262,26,57.0
263,26,32.0
264,26,81.0
265,26,27.0
266,26,14.0
267,26,21.0
268,26,16.0
269,26,14.0
270,27,30.0
271,27,64.0
272,27,51.0
273,27,39.0
274,27,20.0
275,27,60.0
276,27,19.0
277,27,90.0
278,27,18.0
279,27,17.0
280,28,16.0
281,28,50.0
282,28,32.0
283,28,26.0
284,28,91.0
285,28,57.0
286,28,14.0
287,28,56.0
288,28,12.0
289,28,63.0
290,29,12.0
291,29,69.0
292,29,45.0
293,29,59.0
294,29,51.0
295,29,22.0
296,29,31.0
297,29,31.0
298,29,13.0
299,29,20.0
300,30,15.0
301,30,72.0
302,30,101.0
303,30,17.0
304,30,53.0
305,30,66.0
306,30,18.0
307,30,21.0
308,30,14.0
309,30,15.0
310,31,13.0
311,31,69.0
312,31,51.0
313,31,17.0
314,31,33.0
315,31,28.0
316,31,16.0
317,31,40.0
318,31,15.0
319,31,54.0
320,32,19.0
321,32,93.0
322,32,22.0
323,32,14.0
324,32,32.0
325,32,48.0
326,32,36.0
327,32,31.0
328,32,11.0
329,32,16.0
330,33,29.0
331,33,61.0
332,33,48.0
333,33,33.0
334,33,32.0
335,33,23.0
336,33,9.0
337,33,53.0
338,33,14.0
339,33,21.0
340,34,16.0
341,34,114.0
342,34,85.0
343,34,14.0
344,34,45.0
345,34,38.0
346,34,27.0
347,34,69.0
348,34,31.0
349,34,17.0
350,35,14.0
351,35,99.0
352,35,68.0
353,35,24.0
354,35,42.0
355,35,54.0
356,35,10.0
357,35,40.0
358,35,22.0
359,35,15.0
360,36,12.0
361,36,51.0
362,36,116.0
363,36,21.0
364,36,20.0
365,36,19.0
366,36,13.0
367,36,82.0
368,36,14.0
369,36,30.0
370,37,19.0
371,37,118.0
372,37,81.0
373,37,40.0
374,37,25.0
375,37,132.0
376,37,26.0
377,37,116.0
378,37,26.0
379,37,31.0
380,38,26.0
381,38,54.0
382,38,75.0
383,38,27.0
384,38,26.0
385,38,42.0
386,38,34.0
387,38,73.0
388,38,24.0
389,38,16.0
390,39,12.0
391,39,102.0
392,39,41.0
393,39,41.0
394,39,28.0
395,39,35.0
396,39,35.0
397,39,69.0
398,39,19.0
399,39,17.0
400,40,10.0
401,40,177.0
402,40,41.0
403,40,20.0
404,40,42.0
405,40,58.0
406,40,16.0
407,40,65.0
408,40,37.0
409,40,21.0
410,41,22.0
411,41,56.0
412,41,85.0
413,41,33.0
414,41,21.0
415,41,31.0
416,41,13.0
417,41,48.0
